year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,8205,8395,16600,,16034,566,198,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,15467,15631,31098,26.55,16034,15064,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,21654,21718,43372,,24453,18919,1791,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,20456,20492,40948,21.51,24453,16495,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,13449,13323,26772,,8419,18353,1593,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,4989,4861,9850,13.45,8419,1431,,karnataka_crs_2001,
2001,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,6931,6839,13770,,7766,6004,1131,karnataka_crs_2001,
2001,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,4065,3949,8014,19.94,7766,248,,karnataka_crs_2001,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,7926,7600,15526,,14854,672,238,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,13305,13054,26359,22.63,14854,11505,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,21939,21634,43573,,23194,20379,1553,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,20951,20635,41586,21.82,23194,18392,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,14013,14034,28047,,8340,19707,1315,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,7646,7581,15227,20.55,8340,6887,,karnataka_crs_2002,
2002,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,7490,7407,14897,,6146,8751,1048,karnataka_crs_2002,
2002,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,3051,3130,6181,15.23,6146,35,,karnataka_crs_2002,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,9210,8651,17861,,17179,682,207,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,16514,15646,32160,27.43,17179,14981,,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,23424,22015,45439,,27098,18341,1517,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,22281,20788,43069,22.24,27098,15971,,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,14214,13364,27578,,9919,17659,1310,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,5767,5142,10909,14.27,9919,990,,karnataka_crs_2003,
2003,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,4208,3601,7809,18.65,7098,711,,karnataka_crs_2003,
2003,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,7048,6173,13221,,7098,6123,614,karnataka_crs_2003,
2004,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,14708,13949,28657,24.28,13014,15643,,karnataka_crs_2004,
2004,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,7173,6540,13713,,13014,699,221,karnataka_crs_2004,
2004,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,20572,19478,40050,20.34,23920,16130,,karnataka_crs_2004,
2004,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,21803,20685,42488,,23920,18568,1510,karnataka_crs_2004,
2004,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,5864,5529,11393,14.45,10906,487,,karnataka_crs_2004,
2004,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,14630,14145,28775,,10906,17869,1289,karnataka_crs_2004,
2004,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,6785,6276,13061,,7482,5579,103,karnataka_crs_2004,
2004,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,3914,3647,7561,17.23,7482,79,,karnataka_crs_2004,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,7614,7110,14724,,14123,601,214,karnataka_crs_2005,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,13393,13089,26482,22.28,14123,12359,,karnataka_crs_2005,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,21538,21445,42983,,24264,18719,1564,karnataka_crs_2005,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,20469,20308,40777,20.15,24264,16513,,karnataka_crs_2005,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,13924,14335,28259,,10141,18118,1350,karnataka_crs_2005,
2005,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,7076,7219,14295,17.12,10141,4154,,karnataka_crs_2005,
2005,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,7324,7371,14695,,8153,6542,1104,karnataka_crs_2005,
2005,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,4063,4233,8296,18.13,8153,143,,karnataka_crs_2005,
2006,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,5146,4771,9917,,8093,1824,78,karnataka_crs_2006,
2006,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,12280,11364,23644,19.82,8093,15551,,karnataka_crs_2006,
2006,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,18875,18360,37235,,15500,21735,1644,karnataka_crs_2006,
2006,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,17765,17135,34900,17.62,15500,19400,,karnataka_crs_2006,
2006,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,13729,13589,27318,,7407,19911,1566,karnataka_crs_2006,
2006,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,5485,5771,11256,14.29,7407,3849,,karnataka_crs_2006,
2006,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,7148,7382,14530,,6963,7567,1262,karnataka_crs_2006,
2006,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,4054,4342,8396,17.83,6963,1433,,karnataka_crs_2006,
2007,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,4491,4149,8640,,7979,661,213,karnataka_crs_2007,
2007,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,11011,10402,21413,17.65,7979,13434,,karnataka_crs_2007,
2007,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,18298,17285,35583,,17393,18190,2233,karnataka_crs_2007,
2007,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,16458,15672,32130,15.85,17393,14737,,karnataka_crs_2007,
2007,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,13807,13136,26943,,9414,17529,2020,karnataka_crs_2007,
2007,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,5447,5270,10717,13.17,9414,1303,,karnataka_crs_2007,
2007,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,9689,9131,18820,,8950,9870,1976,karnataka_crs_2007,
2007,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,4637,4535,9172,19.48,8950,222,,karnataka_crs_2007,
2008,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,3387,3214,6601,,6082,519,3,karnataka_crs_2008,
2008,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,9935,9467,19402,15.75,6082,13320,,karnataka_crs_2008,
2008,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,17850,17005,34855,,13873,20982,1456,karnataka_crs_2008,
2008,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,16722,15859,32581,15.64,13873,18708,,karnataka_crs_2008,
2008,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,14463,13791,28254,,7791,20463,1453,karnataka_crs_2008,
2008,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,6787,6392,13179,15.47,7791,5388,,karnataka_crs_2008,
2008,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,3537,3378,6915,11.63,6815,100,,karnataka_crs_2008,
2008,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,7984,7552,15536,,6815,8721,1384,karnataka_crs_2008,
2009,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,3621,3267,6888,,6319,569,239,karnataka_crs_2009,
2009,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,9453,8492,17945,14.49,6319,11626,,karnataka_crs_2009,
2009,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,17561,16096,33657,,16529,17128,1787,karnataka_crs_2009,
2009,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,16105,14740,30845,14.63,16529,14316,,karnataka_crs_2009,
2009,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,13940,12829,26769,,10210,16559,1548,karnataka_crs_2009,
2009,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,6652,6248,12900,14.85,10210,2690,,karnataka_crs_2009,
2009,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,3730,3530,7260,11.97,7007,253,,karnataka_crs_2009,
2009,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,7399,6919,14318,,7007,7311,1017,karnataka_crs_2009,
2010,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,3925,3325,7250,,6359,891,370,karnataka_crs_2010,
2010,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,8438,7692,16130,14.7,6359,9771,,karnataka_crs_2010,
2010,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,17818,16400,34218,,17483,16735,1939,karnataka_crs_2010,
2010,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,16101,14827,30928,14.8,17483,13445,,karnataka_crs_2010,
2010,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,13893,13075,26968,,11124,15844,1569,karnataka_crs_2010,
2010,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,7663,7135,14798,14.92,11124,3674,,karnataka_crs_2010,
2010,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,3631,3413,7044,14.53,6771,273,,karnataka_crs_2010,
2010,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,6682,6319,13001,,6771,6230,945,karnataka_crs_2010,
2011,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,4530,3580,8110,,7003,1107,537,karnataka_crs_2011,
2011,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,9384,8163,17547,16.21,7003,10544,,karnataka_crs_2011,
2011,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,17996,16225,34221,16.42,23269,10952,,karnataka_crs_2011,
2011,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,20081,18254,38335,,23269,15066,2575,karnataka_crs_2011,
2011,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,15551,14674,30225,,16266,13959,2038,karnataka_crs_2011,
2011,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,8612,8062,16674,16.64,16266,408,,karnataka_crs_2011,
2011,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,4437,4394,8831,18.03,8400,431,,karnataka_crs_2011,
2011,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,7923,7751,15674,,8400,7274,1196,karnataka_crs_2011,
2012,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,4750,3468,8218,,7953,265,121,karnataka_crs_2012,
2012,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,11559,9880,21439,19.78,7953,13486,,karnataka_crs_2012,
2012,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,21209,19014,40223,,25663,14560,784,karnataka_crs_2012,
2012,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,20751,18517,39268,18.5,25663,13605,,karnataka_crs_2012,
2012,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,16459,15546,32005,,17710,14295,663,karnataka_crs_2012,
2012,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,9192,8637,17829,17.17,17710,119,,karnataka_crs_2012,
2012,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,9010,8640,17650,,8633,9017,428,karnataka_crs_2012,
