event_id,event_year,event_month,published_date,event_date,source_id,source_label,topic_label,domain,event_type,selected_location_name,map_lat,map_lon,map_precision,title,url
NEWS_TOI_2015_05_01_FLOOD_CAUSE,2015,2015-05,2015-05-01,2015-05-01,times_of_india,Other sources,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://timesofindia.indiatimes.com/city/mangaluru/faulty-drains-debris-cause-artificial-flooding-in-mangaluru/articleshow/47118538.cms
CAND_MANGALOREAN.COM_1633d254a1bf,2018,2018-07,2018-07-19,2018-07-19,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,JD(S) Stages Protest against Delay in Pumpwell and Thokkottu Flyover work - Mangalorean.com,https://www.mangalorean.com/jds-stages-protest-against-delay-in-pumpwell-and-thokkottu-flyover-work/
CAND_MANGALOREAN.COM_1f12a835dab5,2018,2018-08,2018-08-21,2018-08-21,mangalorean_com,Mangalorean.com,Rain and weather,flood,urban_flooding,Nanthoor,12.8956,74.8599,junction,City's 'Nanthoor Junction' should be Renamed as 'Potholes Junction'? - Mangalorean.com,https://www.mangalorean.com/citys-nanthoor-junction-should-be-renamed-as-potholes-junction/
CAND_MANGALOREAN.COM_327ee89d2920,2018,2018-07,2018-07-30,2018-07-30,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Congress to Hold Protest against Delay in Pumpwell Flyover work - J R Lobo - Mangalorean.com,https://www.mangalorean.com/congress-to-hold-protest-against-delay-in-pumpwell-flyover-work-j-r-lobo/
CAND_MANGALOREAN.COM_4ca0a761d24c,2018,2018-08,2018-08-01,2018-08-01,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Congress Protesters burn Effigy of MP Nalin for Delay in Pumpwell Flyover Work - Mangalorean.com,https://www.mangalorean.com/congress-protesters-burn-effigy-of-mp-nalin-for-delay-in-pumpwell-flyover-work/
CAND_MANGALOREAN.COM_50d322c86cd8,2018,2018-08,2018-08-02,2018-08-02,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Why Congress Holding MP Nalin Responsible for Delay in Pumpwell Flyover Work? - Harikrishna Bantwal - Mangalorean.com,https://www.mangalorean.com/why-congress-holding-mp-nalin-responsible-for-delay-in-pumpwell-flyover-work-harikrishna-bantwal/
CAND_MANGALOREAN.COM_638cc537e592,2018,2018-06,2018-06-27,2018-06-27,mangalorean_com,Mangalorean.com,Rain and weather,flood,urban_flooding,Padil,12.8796,74.8739,junction,Padil RUB Flooded Again! 4 Wheeler Wade through Water/2 Wheeler Riders Use Walkway - Mangalorean.com,https://www.mangalorean.com/padil-rub-flooded-again-4-wheeler-wade-through-water-2-wheeler-riders-use-walkway/
CAND_MANGALOREAN.COM_db4ada70ecb0,2018,2018-11,2018-11-18,2018-11-18,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Flyover work of Thokkottu and Pumpwell to complete by January end – MP Nalin Kumar Kateel - Mangalorean.com,https://www.mangalorean.com/flyover-work-of-thokkottu-and-pumpwell-to-complete-by-january-end-mp-nalin-kumar-kateel/
NEWS_DH_2018_08_10_FLOOD,2018,2018-08,2018-08-10,2018-08-10,deccan_herald,Other sources,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://www.deccanherald.com/india/karnataka/artificial-flood-at-kottara-chowki-malemar-areas-686868.html
NEWS_NIE_2018_05_29_FLOOD,2018,2018-05,2018-05-29,2018-05-29,new_indian_express,Other sources,Rain and weather,flood_hospital_access,hospital_access_disruption,KMC Attavar,12.8623,74.8446,public_landmark,,https://www.newindianexpress.com/states/karnataka/2018/May/29/three-hours-of-heavy-rainfall-leaves-mangaluru-flooded-1820957.html
NEWS_NIE_2018_05_30_FLOOD_DEATHS,2018,2018-05,2018-05-30,2018-05-29,new_indian_express,Other sources,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://www.newindianexpress.com/states/karnataka/2018/May/30/life-returns-to-normalcy-in-mangaluru-a-day-after-it-drowned-in-rains-1821510.html
CAND_MANGALOREAN.COM_183fc1d23ae8,2019,2019-08,2019-08-14,2019-08-14,mangalorean_com,Mangalorean.com,Road safety,road_safety,road_crash,Nanthoor,12.8956,74.8599,junction,Tree Falls on School Bus near Nanthoor? Our Website had Warned about THIS Hazard Twice! - Mangalorean.com,https://www.mangalorean.com/tree-falls-on-school-bus-near-nanthoor-our-website-had-warned-about-this-hazard-twice/
CAND_MANGALOREAN.COM_3339c892378c,2019,2019-07,2019-07-23,2019-07-23,mangalorean_com,Mangalorean.com,Rain and weather,flood,urban_flooding,Pumpwell,12.857423,74.856686,junction,"RUB Flooded Again! If Pumpwell Flyover is 8th, Padil Rail Under Bridge is 9th Wonder of the World? - Mangalorean.com",https://www.mangalorean.com/rub-flooded-again-if-pumpwell-flyover-is-8th-padil-rail-under-bridge-is-9th-wonder-of-the-world/
CAND_MANGALOREAN.COM_41b911c84e9c,2019,2019-08,2019-08-17,2019-08-17,mangalorean_com,Mangalorean.com,Fire and emergency,fire,fire_or_explosion,Pumpwell,12.857423,74.856686,junction,"Gang of 8 Extortionists Arrested from Lodge in Pumpwell, Fire Arms Seized - Mangalorean.com",https://www.mangalorean.com/gang-of-8-extortionists-arrested-from-lodge-in-pumpwell-fire-arms-seized/
CAND_MANGALOREAN.COM_88da805be706,2019,2019-04,2019-04-14,2019-04-14,mangalorean_com,Mangalorean.com,Road safety,road_safety,road_crash,Jeppinamogaru,12.8445,74.8644,locality,Scrapped bus Accidentally Catches Fire at Jeppinamogaru - Mangalorean.com,https://www.mangalorean.com/scrapped-bus-accidentally-catches-fire-at-jeppinamogaru/
CAND_MANGALOREAN.COM_9c213abd6cd1,2019,2019-09,2019-09-08,2019-09-08,mangalorean_com,Mangalorean.com,Rain and weather,landslide,slope_or_treefall_hazard,Padil,12.8796,74.8739,junction,Two Children Killed after Compound Wall Collapses at Padil - Mangalorean.com,https://www.mangalorean.com/two-children-killed-after-compound-wall-collapses-at-padil/
CAND_MANGALOREAN.COM_e441e7457624,2019,2019-10,2019-10-22,2019-10-22,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Nanthoor,12.8956,74.8599,junction,NHAI did Shabby Patch Work of filling Potholes near Nanthoor Circle after Activist's Silent Protest - Mangalorean.com,https://www.mangalorean.com/nhai-did-shabby-patch-work-of-filling-potholes-near-nanthoor-circle-after-activists-silent-protest/
NEWS_MT_2019_07_26_FLOOD,2019,2019-07,2019-07-26,2019-07-26,mangalore_today,Mangalore Today,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://www.mangaloretoday.com/mainnewsprint/Heavy-rain-in-Mangaluru-water-logging-at-several-places.html
CAND_MANGALOREAN.COM_19e43f15ab7f,2020,2020-03,2020-03-16,2020-03-16,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Kulur,12.9196,74.8309,locality,Old Kulur Bridge Closed for Repair Work- Vehicles Plying from Both Directions to Use Existing New Kulur Bridge - Mangalorean.com,https://www.mangalorean.com/old-kulur-bridge-closed-for-repair-work-vehicles-plying-from-both-directions-to-use-existing-new-kulur-bridge/
CAND_MANGALOREAN.COM_283902ea369e,2020,2020-03,2020-03-18,2020-03-18,mangalorean_com,Mangalorean.com,Transport,transport,transport_service_disruption,Kulur,12.9196,74.8309,locality,Traffic Chaos & Diversions a Nightmare for Motorists Due to Closure of Old Kulur Bridge for Repairs - Mangalorean.com,https://www.mangalorean.com/traffic-chaos-diversions-a-nightmare-for-motorists-due-to-closure-of-old-kulur-bridge-for-repairs/
NEWS_MT_2020_09_11_FLOOD,2020,2020-09,2020-09-11,2020-09-11,mangalore_today,Mangalore Today,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://www.mangaloretoday.com/mainnewsprint/Mangaluru-Heavy-rains-across-city-water-logging-at-several-places.html
NEWS_MT_2020_10_14_FLOOD,2020,2020-10,2020-10-14,2020-10-14,mangalore_today,Mangalore Today,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://www.mangaloretoday.com/main/Heavy-rains-Water-logging-at-Malemar-Kottara-Chowki.html
CAND_DAIJI_816226,2021,2021-03,2021-03-23,2021-03-23,daijiworld,Daijiworld,Civic work,sanitation,solid_waste_or_sanitation_issue,Pandeshwar,12.8615,74.8402,locality,"Mangaluru: Storm water drain blocked due to waste from nearby shops, apartments, hotels",https://www.daijiworld.com/news/newsDisplay?newsID=816226
CAND_DAIJI_824148,2021,2021-04,2021-04-15,2021-04-15,daijiworld,Daijiworld,Fire and emergency,fire,fire_or_explosion,Attavar,12.8623,74.8446,locality,Mangaluru: Short circuit in AC triggers fire at income tax office in Attavar,https://www.daijiworld.com/news/newsDisplay?newsID=824148
CAND_DAIJI_825749,2021,2021-04,2021-04-20,2021-04-20,daijiworld,Daijiworld,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Mangaluru: Derogatory wall graffiti found on Pumpwell flyover,https://www.daijiworld.com/news/newsDisplay?newsID=825749
CAND_DAIJI_826816,2021,2021-04,2021-04-23,2021-04-23,daijiworld,Daijiworld,Fire and emergency,fire,fire_or_explosion,Hampankatta,12.8679,74.8419,locality,Mangaluru: MCC Bank chairman shares details of fire at head office,https://www.daijiworld.com/news/newsDisplay?newsID=826816
CAND_DAIJI_826896,2021,2021-04,2021-04-23,2021-04-23,daijiworld,Daijiworld,Civic work,sanitation,solid_waste_or_sanitation_issue,Baikampady,12.954508,74.82208,locality,"Mangaluru: Industrial waste released into Phalguni river - DYFI leaders, locals warn of protest",https://www.daijiworld.com/news/newsDisplay?newsID=826896
CAND_DAIJI_827565,2021,2021-04,2021-04-26,2021-04-26,daijiworld,Daijiworld,Fire and emergency,fire,fire_or_explosion,Hampankatta,12.8679,74.8419,locality,Mangaluru: MCC Bank Hampankatta branch's operations shifted to NRI section,https://www.daijiworld.com/news/newsDisplay?newsID=827565
CAND_DAIJI_837301,2021,2021-05,2021-05-27,2021-05-27,daijiworld,Daijiworld,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Mangaluru: Accident over Pumpwell flyover leaves vehicle rider injured,https://www.daijiworld.com/news/newsDisplay?newsID=837301
CAND_DAIJI_838055,2021,2021-05,2021-05-29,2021-05-29,daijiworld,Daijiworld,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Mangaluru: Chronic waterlogging witnessed on service road near Pumpwell flyover,https://www.daijiworld.com/news/newsDisplay?newsID=838055
CAND_DAIJI_846201,2021,2021-06,2021-06-23,2021-06-23,daijiworld,Daijiworld,Transport,transport,transport_service_disruption,Pumpwell,12.857423,74.856686,junction,Mangaluru: PPP model Pumpwell bus terminal plan fails utterly,https://www.daijiworld.com/news/newsDisplay?newsID=846201
CAND_DAIJI_849977,2021,2021-07,2021-07-05,2021-07-05,daijiworld,Daijiworld,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Mangaluru: People troll MP Nalin Kumar Kateel for woes connected with Pumpwell flyover,https://www.daijiworld.com/news/newsDisplay?newsID=849977
CAND_DAIJI_853695,2021,2021-07,2021-07-15,2021-07-15,daijiworld,Daijiworld,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,"Mangaluru: Car overshoots flyover, lands on road median - No fatalities reported",https://www.daijiworld.com/news/newsDisplay?newsID=853695
CAND_DAIJI_853832,2021,2021-07,2021-07-16,2021-07-16,daijiworld,Daijiworld,Transport,transport,transport_service_disruption,Padil,12.8796,74.8739,junction,Mangaluru: Massive landslide near Kulshekar to affect rail movement,https://www.daijiworld.com/news/newsDisplay?newsID=853832
CAND_DAIJI_854374,2021,2021-07,2021-07-18,2021-07-18,daijiworld,Daijiworld,Transport,transport,transport_service_disruption,Padil,12.8796,74.8739,junction,Mangaluru: Landslide on railway tracks - Operations likely to resume from Jul 18,https://www.daijiworld.com/news/newsDisplay?newsID=854374
CAND_DAIJI_861828,2021,2021-08,2021-08-10,2021-08-10,daijiworld,Daijiworld,Rain and weather,flood,urban_flooding,Padil,12.8796,74.8739,junction,Mangaluru: 55-year-old man from Talapady dies after drowning in pond,https://www.daijiworld.com/news/newsDisplay?newsID=861828
CAND_DAIJI_863882,2021,2021-08,2021-08-17,2021-08-17,daijiworld,Daijiworld,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,"Miscreants ‘rename’ Pumpwell flyover, Mangaluru Junction railway station after Veer Savarkar",https://www.daijiworld.com/news/newsDisplay?newsID=863882
CAND_DAIJI_866898,2021,2021-08,2021-08-26,2021-08-26,daijiworld,Daijiworld,Transport,transport,transport_service_disruption,Padil,12.8796,74.8739,junction,"Mangaluru: Cracks in railway tracks - One train cancelled, six delayed",https://www.daijiworld.com/news/newsDisplay?newsID=866898
CAND_DAIJI_872757,2021,2021-09,2021-09-12,2021-09-12,daijiworld,Daijiworld,Transport,transport,transport_service_disruption,Kulur,12.9196,74.8309,locality,Mangaluru: Huge potholes on both bridges at Kulur disrupt traffic movement,https://www.daijiworld.com/news/newsDisplay?newsID=872757
CAND_DAIJI_873860,2021,2021-09,2021-09-16,2021-09-16,daijiworld,Daijiworld,Civic work,public_works,civic_infrastructure_intervention,KPT,12.8959,74.841,junction,Mangaluru: 'Highway flyover approved near KPT Junction' - Nalin,https://www.daijiworld.com/news/newsDisplay?newsID=873860
CAND_DAIJI_877900,2021,2021-09,2021-09-28,2021-09-28,daijiworld,Daijiworld,Road safety,road_safety,road_crash,Nanthoor,12.8956,74.8599,junction,Mangaluru: Nursing student dies in hit-and-run accident on national highway at Nanthoor,https://www.daijiworld.com/news/newsDisplay?newsID=877900
CAND_DAIJI_888696,2021,2021-10,2021-10-30,2021-10-30,daijiworld,Daijiworld,Road safety,road_safety,road_crash,Padil,12.8796,74.8739,junction,Mangaluru: 45-year-old woman dies in scooter-tipper collision,https://www.daijiworld.com/news/newsDisplay?newsID=888696
CAND_DAIJI_890392,2021,2021-11,2021-11-04,2021-11-04,daijiworld,Daijiworld,Civic work,public_works,civic_infrastructure_intervention,Nanthoor,12.8956,74.8599,junction,Mangaluru: Lack of willpower turns Nanthoor flyover into a mirage,https://www.daijiworld.com/news/newsDisplay?newsID=890392
CAND_DAIJI_892389,2021,2021-11,2021-11-11,2021-11-11,daijiworld,Daijiworld,Road safety,road_safety,road_crash,Padil,12.8796,74.8739,junction,"Mangaluru: Hit by concrete mix truck, scooter rider loses life",https://www.daijiworld.com/news/newsDisplay?newsID=892389
NEWS_DAIJI_2021_10_23_FLOOD,2021,2021-10,2021-10-23,2021-10-23,daijiworld,Daijiworld,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://www.daijiworld.com/news/newsDisplay?newsID=886082
NEWS_DAIJI_2021_11_20_FLOOD,2021,2021-11,2021-11-20,2021-11-20,daijiworld,Daijiworld,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://daijiworld.com/news/newsDisplay?newsID=895832
CAND_DAIJI_1013389,2022,2022-10,2022-10-26,2022-10-26,daijiworld,Daijiworld,Road safety,road_safety,road_crash,Kottara Chowki,12.910302,74.836243,junction,Mangaluru: Man crossing road run over by speeding truck,https://www.daijiworld.com/news/newsDisplay?newsID=1013389
CAND_DAIJI_1023436,2022,2022-11,2022-11-26,2022-11-26,daijiworld,Daijiworld,Fire and emergency,fire,fire_or_explosion,Balmatta,12.8692,74.8459,locality,Mangaluru: Parked car catches fire due to short circuit,https://www.daijiworld.com/news/newsDisplay?newsID=1023436
CAND_DAIJI_924545,2022,2022-02,2022-02-09,2022-02-09,daijiworld,Daijiworld,Road safety,road_safety,road_crash,Padil,12.8796,74.8739,junction,"Mangaluru: Lorry loaded with coke topples at Padil, traffic affected",https://www.daijiworld.com/news/newsDisplay?newsID=924545
